ProjectAccession,Instrument,Quantification Method,Software,PTM
PRD000001,MS:1000126,,,
PRD000003,,,,
PRD000004,,,,
PRD000005,,,,
PRD000006,,,,
PRD000007,MS:1000189,,,MOD:00048|MOD:00046|MOD:00047
PRD000008,MS:1000126,,,
PRD000009,MS:1000448,,,
PRD000010,MS:1000447,,,
PRD000011,MS:1001534,,,
PRD000012,MS:1001533,,,
PRD000013,MS:1001534,,,
PRD000014,MS:1000169,,,MOD:00425|19|106|MOD:00481
PRD000015,MS:1000632,,,
PRD000016,MS:1000169,,,MOD:00425|MOD:00399
PRD000017,MS:1000126,,,MOD:00709|MOD:00417|MOD:00397
PRD000018,MS:1000168|MS:1001534|MS:1000140,,,105|106|MOD:00417|MOD:00935|4|MOD:00397|MOD:00481|MOD:00480|24
PRD000019,MS:1000447|MS:1000554,,,MOD:00412|MOD:00397
PRD000020,MS:1000447|MS:1000554|MS:1000140|MS:1000188|MS:1000126,,,
PRD000021,,,,
PRD000022,,,,
PRD000023,,,,
PRD000024,MS:1000169,,,MOD:00256|MOD:00412|MOD:00397
PRD000026,MS:1000495,,,MOD:00397
PRD000027,MS:1000447,,,
PRD000033,MS:1000657,,,
PRD000084,MS:1000447,,,MOD:00412|MOD:00397|MOD:00481
PRD000085,MS:1000447,,,
PRD000086,,,,MOD:00425|MOD:00564
PRD000087,MS:1000448,,,MOD:00719|MOD:00397
PRD000103,MS:1000658,,,MOD:00425|MOD:01214
PRD000104,,,,MOD:00048|MOD:00696|MOD:00046|MOD:00047|MOD:00721
PRD000105,MS:1000655|MS:1000657,,,MOD:00564|MOD:00597|MOD:00425
PRD000161,MS:1000140,,,
PRD000163,MS:1000449,,,MOD:00260|MOD:00419
PRD000164,MS:1000168,,,
PRD000029,MS:1000607|MS:1001533,,,
PRD000030,MS:1000140,,,
PRD000032,MS:1000447|MS:1000554|MS:1000188|MS:1000449|MS:1000126,,,
PRD000039,MS:1000204,,,
PRD000042,MS:1000490,,,
PRD000046,MS:1000854,,,MOD:00719|MOD:00397
PRD000047,MS:1000449,,,MOD:00696|MOD:00429|MOD:00394|MOD:00719|MOD:00397|MOD:00552
PRD000049,MS:1000656,,,
PRD000050,MS:1000448,,,MOD:00719|MOD:00397
PRD000089,MS:1000490,,,MOD:00719|MOD:00719|MOD:01060|MOD:00417
PRD000096,MS:1000447,,,MOD:00048|MOD:00696|MOD:00412|MOD:00397|MOD:00046|MOD:00047
PRD000097,MS:1000447,,,MOD:00719|MOD:00540|MOD:00397|MOD:00480
PRD000099,MS:1000447,,,
PRD000100,MS:1000449,,,MOD:00412|MOD:00425|MOD:01214
PRD000151,MS:1000447|MS:1001534|MS:1000449,,,MOD:00425|MOD:01214
PRD000165,MS:1000449,,,MOD:01214
PRD000167,MS:1000632,,,MOD:01214|MOD:00425
PRD000168,MS:1000556,,,MOD:01214|MOD:00425
PRD000169,MS:1000140,,,MOD:00425|MOD:01214
PRD000170,MS:1000490,,,
PRD000172,,,,MOD:01084|MOD:00425
PRD000174,MS:1000188,,,MOD:00040|MOD:01160|MOD:00400|MOD:00256|MOD:00420|MOD:01291|MOD:00425|MOD:01214
PRD000176,MS:1000447,,,MOD:00394|MOD:00425|MOD:01214
PRD000177,MS:1000449,,,
PRD000178,MS:1000126,,,MOD:01485|MOD:00696|MOD:01455|MOD:00597|MOD:01487
PRD000002,MS:1000554|MS:1000140|MS:1000187|MS:1000655|MS:1000126|MS:1000447,,,
PRD000051,MS:1000448,,,
PRD000052,,,,
PRD000053,MS:1000490,,,
PRD000054,MS:1000449,,,MOD:00048|MOD:00394|MOD:00397|MOD:00719|MOD:00408|MOD:00696|MOD:00412
PRD000055,MS:1000448|MS:1000449,,,MOD:00429|MOD:00719|MOD:00399|MOD:00397|MOD:00552|MOD:00638
PRD000056,MS:1000656|MS:1000657,,,
PRD000057,MS:1000447,,,
PRD000059,MS:1000449,,,MOD:00719|MOD:00546|MOD:00397
PRD000060,MS:1001534,,,
PRD000083,MS:1000448|MS:1000854,,,MOD:00719|MOD:00397
PRD000092,MS:1000447,,,MOD:00719|MOD:00397
PRD000150,MS:1000169,,,
PRD000180,MS:1000449,,,MOD:00425
PRD000181,MS:1000632,,,MOD:00400|MOD:00425|MOD:01214
PRD000182,MS:1000449,,,MOD:00425|MOD:01214
PRD000183,MS:1000854,,,
PRD000184,MS:1000449,,,
PRD000185,MS:1000447|MS:1000556,,,
PRD000186,MS:1000204,,,
PRD000187,MS:1000854,,,
PRD000189,MS:1000449,,,
PRD000190,MS:1000449,,,
PRD000191,MS:1000449,,,MOD:00425|MOD:01214
PRD000192,MS:1000449,,,MOD:00425|MOD:01214
PRD000193,MS:1000449,,,MOD:00425|MOD:01214
PRD000194,MS:1000447|MS:1000449,,,MOD:00425|MOD:01214
PRD000196,MS:1000449,,,
PRD000197,MS:1000449,,,
PRD000199,MS:1000449,,,
PRD000200,MS:1000632,,,
PRD000035,MS:1000204,,,
PRD000036,,,,MOD:00260|MOD:00419
PRD000037,MS:1000449,,,
PRD000038,MS:1000697,,,
PRD000043,MS:1000632,,,
PRD000044,MS:1000447,,,MOD:00696|MOD:00412|MOD:00919|MOD:00912|MOD:00239|MOD:00125|MOD:00042|MOD:00397|MOD:00408|MOD:00046|MOD:00047
PRD000045,MS:1000448|MS:1000449,,,MOD:00429|MOD:00719|MOD:00397|MOD:00552
PRD000093,MS:1000447,,,MOD:00719|MOD:00397
PRD000111,MS:1000449,,,MOD:00260|MOD:00419
PRD000112,MS:1000449|MS:1000632,,,MOD:01233|MOD:00564|MOD:00425|MOD:01214
PRD000113,MS:1000189|MS:1000449,,,
PRD000114,MS:1000449,,,
PRD000115,MS:1000449,,,MOD:00260|MOD:00419
PRD000116,MS:1000448,,,
PRD000117,MS:1000449,,,
PRD000118,MS:1000490,,,MOD:00394|MOD:00696|MOD:00425|MOD:01214
PRD000119,MS:1001534,,,
PRD000123,MS:1000449,,,MOD:00638|MOD:00429|MOD:00696|MOD:00425|MOD:01214|MOD:00552
PRD000124,MS:1000449,,,MOD:00638|MOD:00696|MOD:00084|MOD:00425|MOD:01214|MOD:00552
PRD000126,MS:1000449,,,MOD:00564|MOD:00400|MOD:00014|MOD:00425
PRD000127,MS:1000447,,,MOD:00394|MOD:00040|MOD:00420|MOD:01214
PRD000133,MS:1000652,,,
PRD000146,MS:1000448,,,MOD:00565|MOD:00040|MOD:00400|MOD:00582|MOD:00587|MOD:00696|MOD:00420|MOD:00425|MOD:01214
PRD000147,MS:1000658,,,
PRD000148,MS:1000139,,,
PRD000153,MS:1000658,,,
PRD000154,MS:1000449,,,MOD:00425|MOD:01214
PRD000155,MS:1000554,,,
PRD000156,MS:1000449,,,MOD:01090|MOD:00720
PRD000062,MS:1000449,,,MOD:00429|MOD:00719|MOD:00397|MOD:00552
PRD000065,MS:1000854,,,MOD:00048|MOD:00696|MOD:00394|MOD:00719|MOD:00397
PRD000066,,,,
PRD000067,MS:1000126,,,MOD:00425
PRD000068,MS:1000655,,,MOD:01090|MOD:00935|MOD:01233|MOD:00449|MOD:00408|MOD:00420
PRD000069,MS:1000189|MS:1000655|MS:1000169|MS:1000656|MS:1000449|MS:1000448|MS:1000658|MS:1000854|MS:1000632|MS:1001536|MS:1000447|MS:1001533,,,
PRD000070,,,,
PRD000072,MS:1000448,,,MOD:00040|MOD:00719|MOD:00397
PRD000073,MS:1000447|MS:1000448|MS:1000125|MS:1000655,,,MOD:00412|MOD:00040|MOD:00420|MOD:00684|MOD:00397|MOD:00419
PRD000074,MS:1000447|MS:1000449,,,
PRD000075,MS:1000490|MS:1000632,,,MOD:00425|MOD:01214|MOD:00587|MOD:00394|MOD:00544|MOD:00719|MOD:01212|MOD:00400|MOD:01232
PRD000079,MS:1000658,,,
PRD000080,MS:1000168,,,
PRD000081,MS:1000697,,,
PRD000082,MS:1000169,,,MOD:00256|MOD:00412|MOD:00397
PRD000088,MS:1000447,,,
PRD000106,MS:1000447,,,
PRD000108,MS:1000449,,,MOD:01214
PRD000109,MS:1000449,,,
PRD000134,MS:1001534,,,
PRD000136,MS:1000448|MS:1000449,,,
PRD000139,MS:1000449,,,MOD:00425|MOD:01214
PRD000140,MS:1001534,,,
PRD000141,MS:1000449,,,MOD:00425|MOD:01214
PRD000142,MS:1001534,,,MOD:00425|MOD:01214
PRD000143,MS:1000656|MS:1000655,,,MOD:00040|MOD:00400|MOD:00420|MOD:00425|MOD:01214
PRD000157,MS:1000449,,,
PRD000158,MS:1000168,,,
PRD000159,MS:1000169,,,
PRD000160,MS:1000168,,,
PRD000256,MS:1000449,,,
PRD000257,MS:1000490,,,MOD:00308|MOD:00040|MOD:00400|MOD:00425|MOD:01060
PRD000258,,,,MOD:00429|MOD:01214
PRD000259,MS:1000554,,,
PRD000262,MS:1000449,,,MOD:01090|MOD:01231|MOD:00451|MOD:01232|MOD:00256|MOD:00452
PRD000263,MS:1000449|MS:1000490,,,MOD:01090|MOD:00394|MOD:00412|MOD:00040|MOD:01232|MOD:00452|MOD:01060|MOD:00719|MOD:01231|MOD:01233|MOD:00449|MOD:00400|MOD:00409
PRD000266,MS:1000449,,,
PRD000267,MS:1000449,,,
PRD000268,MS:1000658,,,MOD:00425|MOD:01214
PRD000269,MS:1000449,,,MOD:01214
PRD000270,,,,MOD:00425|MOD:01214
PRD000271,MS:1000447,,,MOD:00394|MOD:00425|MOD:01214
PRD000272,MS:1000447,,,MOD:00394|MOD:00425|MOD:01214
PRD000273,MS:1000697,,,
PRD000276,MS:1001545,,,MOD:00719|MOD:00400|MOD:00408|MOD:00420
PRD000277,MS:1000854,,,MOD:00785|MOD:00052|MOD:00394|MOD:00053|MOD:00040|MOD:00056|MOD:00420|MOD:01291|MOD:00425|MOD:01214|MOD:00684|MOD:00780|MOD:00781|MOD:00685|MOD:00256|MOD:00062|MOD:00221
PRD000279,,,,
PRD000280,MS:1000447,,,
PRD000281,MS:1000449,,,MOD:00719|MOD:01458|MOD:00001|MOD:00902|MOD:00064
PRD000283,MS:1000697,,,
PRD000284,MS:1000697,,,
PRD000285,,,,
PRD000223,MS:1000447,,,
PRD000224,MS:1000140,,,MOD:00425|MOD:01214
PRD000226,MS:1000079|MS:1000449,,,MOD:01090|MOD:00412|MOD:00617|MOD:00696|MOD:01241|MOD:00407|MOD:00425|MOD:01214|MOD:01060
PRD000227,MS:1000554,,,
PRD000228,MS:1000449,,,MOD:00394|MOD:00001|MOD:00721|MOD:00408|MOD:01459|MOD:00552
PRD000229,MS:1000449,,,MOD:00394|MOD:00001|MOD:01331|MOD:00721|MOD:00408|MOD:01459|MOD:00552
PRD000231,MS:1000490,,,MOD:00719|MOD:00040|MOD:01458|MOD:00417|MOD:00400|MOD:00696
PRD000232,MS:1000449,,,MOD:00425|MOD:01214
PRD000233,,,,MOD:00429|MOD:01214
PRD000234,MS:1000140|MS:1000449,,,MOD:00042|MOD:00241|MOD:00400|MOD:00425|MOD:01214
PRD000237,MS:1000490,,,MOD:00400|MOD:01060
PRD000238,MS:1000447,,,
PRD000239,MS:1000447,,,
PRD000241,MS:1000126,,,MOD:00040|MOD:00400|MOD:00408|MOD:00256|MOD:00030
PRD000242,MS:1000447|MS:1000854|MS:1000449,,,MOD:00696|MOD:00425|MOD:01214
PRD000246,,,,MOD:00843
PRD000247,MS:1000449,,,MOD:00354|MOD:01214
PRD000213,MS:1000447,,,
PRD000214,MS:1000079,,,MOD:00412|MOD:00040|MOD:01084|MOD:00704|MOD:00696|MOD:01455|MOD:00046|MOD:00425|MOD:01214|MOD:00047
PRD000249,,,,
PRD000252,,,,
PRD000255,MS:1000447,,,
PRD000286,MS:1000447,,,
PRD000288,MS:1000449,,,MOD:00425|MOD:01214
PRD000289,MS:1000449,,,MOD:00042|MOD:00425|MOD:01214
PRD000291,MS:1000447,,,MOD:01214
PRD000292,MS:1000448,,,
PRD000293,MS:1000854,,,MOD:00719|MOD:00904|MOD:00907|MOD:01060
PRD000294,MS:1000448,,,
PRD000298,,,,
PRD000300,MS:1000448,,,
PRD000301,MS:1000697,,,
PRD000303,MS:1000169,,,
PRD000201,MS:1000656|MS:1000657,,,
PRD000203,MS:1000632,,,
PRD000204,MS:1000557,,,MOD:00425
PRD000209,MS:1000126,,,
PRD000211,MS:1000490,,,MOD:01659|MOD:00400|MOD:01060
PRD000212,MS:1000658,,,MOD:00394|MOD:00040|MOD:00425|MOD:01214
PRD000216,MS:1000448,,,MOD:00394|MOD:00040|MOD:00400|MOD:00256|MOD:00713|MOD:00409|MOD:00425|MOD:01214
PRD000220,MS:1000490,,,MOD:00492|MOD:01214
PRD000221,MS:1000449,,,MOD:00394|MOD:00913|MOD:01661|MOD:00400|MOD:01228|MOD:00187|MOD:00186|MOD:01214|MOD:00501
PRD000222,MS:1000447,,,
PRD000250,MS:1001534,,,MOD:00425
PRD000251,MS:1000656|MS:1000189|MS:1000140,,,MOD:00425|MOD:01214
PRD000307,MS:1000449,,,MOD:00394|MOD:00046|MOD:00425|MOD:01214
PRD000308,MS:1000447,,,
PRD000309,MS:1000697,,,
PRD000312,MS:1000657,,,
PRD000313,,,,
PRD000314,MS:1000447,,,
PRD000316,MS:1000169,,,
PRD000317,,,,
PRD000373,MS:1000449,,,
PRD000374,MS:1000657,,,
PRD000375,MS:1001545,,,
PRD000376,MS:1000449,,,MOD:00394|MOD:00721|MOD:00587|MOD:00408|MOD:01061|MOD:00064
PRD000377,MS:1000140,,,MOD:00425|MOD:01214
PRD000378,MS:1001533,,,MOD:00719|MOD:01233|MOD:01331|MOD:00449|MOD:00400|MOD:01061
PRD000381,,,,UNIMOD:21|UNIMOD:35
PRD000382,MS:1000449,,,
PRD000384,MS:1000449,,,MOD:00451|MOD:00449|MOD:00408|MOD:01061|MOD:00425
PRD000387,MS:1000449,,,MOD:00040|MOD:00420|MOD:00425|MOD:01214
PRD000388,MS:1000447|MS:1000140,,,MOD:00394|MOD:00425|MOD:01060
PRD000391,MS:1000655,,,
PRD000392,MS:1000554,,,MOD:00425|MOD:01214
PRD000393,MS:1000449,,,
PRD000319,MS:1000449,,,MOD:00719|MOD:00905
PRD000321,MS:1000449,,,MOD:00719|MOD:00040|MOD:00001|MOD:01331|MOD:00408|MOD:01334
PRD000323,MS:1000656,,,
PRD000326,MS:1000449,,,
PRD000327,MS:1000449|MS:1000556,,,MOD:00394|MOD:00046|MOD:00425|MOD:01214
PRD000328,MS:1000448,,,
PRD000332,MS:1000632,,,
PRD000333,MS:1001533,,,
PRD000334,MS:1000449,,,MOD:00425|MOD:01214
PRD000336,MS:1000556,,,MOD:00719|MOD:00040|MOD:01233|MOD:00449|MOD:00408|MOD:01060
PRD000337,MS:1000449,,,
PRD000340,MS:1000189,,,MOD:00425|MOD:01214
PRD000341,MS:1000658,,,MOD:00425|MOD:01214
PRD000346,MS:1000449|MS:1000556,,,
PRD000347,MS:1000449,,,MOD:00394|MOD:00723|MOD:01331|MOD:00721|MOD:01459|MOD:01061|MOD:00649
PRD000348,,,,
PRD000349,MS:1000447,,,
PRD000354,MS:1000447,,,MOD:00412|MOD:01214
PRD000357,MS:1000854,,,
PRD000359,MS:1001545,,,MOD:00400|MOD:01214
PRD000360,MS:1000447,,,MOD:00425|MOD:01214
PRD000361,MS:1000854|MS:1000121,,,
PRD000362,MS:1000657,,,MOD:00400|MOD:00425|MOD:01214
PRD000363,MS:1000449,,,MOD:00394|MOD:00696|MOD:00425|MOD:01214
PRD000364,MS:1000449,,,MOD:00425|MOD:01214
PRD000394,MS:1000449,,,
PRD000395,MS:1000449,,,MOD:00451|MOD:01398|MOD:00256|MOD:00452|MOD:01835|MOD:01831
PRD000397,MS:1000658,,,MOD:01499|MOD:00425
PRD000398,MS:1001536,,,MOD:00719|MOD:01214
PRD000400,MS:1000449,,,MOD:00719|MOD:01214
PRD000401,MS:1000556,,,
PRD000404,MS:1000449,,,
PRD000345,MS:1000449,,,MOD:01508|MOD:00427|MOD:00400|MOD:01762|MOD:00408|MOD:00429|MOD:00430|MOD:00696|MOD:00425|MOD:01060
PRD000350,MS:1000140,,,
PRD000351,MS:1000447|MS:1000658|MS:1001534,,,MOD:00719|MOD:00400|MOD:00425|MOD:01214|MOD:01060
PRD000365,MS:1000449,,,MOD:00425|MOD:01214
PRD000366,MS:1000449,,,MOD:00425|MOD:01214
PRD000369,MS:1001534,,,MOD:01709|MOD:00425
PRD000406,MS:1000488,,,
PRD000407,MS:1000448,,,MOD:00942|MOD:00394|MOD:00582|MOD:00587|MOD:00544|MOD:00425|MOD:01214
PRD000409,MS:1000657,,,
PRD000410,MS:1000855,,,MOD:00483|MOD:01821|MOD:00425
PRD000411,MS:1000855,,,MOD:01822|MOD:00483|MOD:01823|MOD:00425
PRD000414,MS:1000447,,,MOD:00719|MOD:01160|MOD:00704
PRD000415,MS:1000126,,,MOD:00159|MOD:00674|MOD:00761|MOD:00493|MOD:00394|MOD:00544|MOD:00480|MOD:00440|MOD:00481|MOD:00128|MOD:00599|MOD:00599|MOD:00696|MOD:00398|MOD:01813|MOD:00410|MOD:00405|MOD:00533|MOD:00436|MOD:00761|MOD:01152|MOD:00399|MOD:00704|MOD:00697|MOD:00040|MOD:00127|MOD:00438|MOD:00126|MOD:00400|MOD:00532|MOD:00425|MOD:00214|MOD:00397
PRD000416,MS:1000449,,,MOD:00425|MOD:01214
PRD000417,MS:1000449,,,MOD:00425|MOD:01214
PRD000418,MS:1000447,,,MOD:00425|MOD:01214
PRD000419,MS:1000557,,,MOD:00417|MOD:01331|MOD:01334
PRD000420,MS:1000189,,,MOD:00394|MOD:00721|MOD:01214
PRD000430,MS:1000448|MS:1000189,,,MOD:00394|MOD:00721|MOD:01214
PRD000434,MS:1000449,,,MOD:00425|MOD:01214
PRD000475,,,,
PRD000476,,,,
PRD000477,,,,
PRD000478,MS:1000079,,,
PRD000479,,,,
PRD000480,,,,
PRD000481,,,,
PRD000482,,,,
PRD000483,,,,
PRD000484,,,,
PRD000485,,,,
PRD000486,MS:1000079,,,
PRD000487,MS:1000079,,,
PRD000488,,,,
PRD000489,,,,
PRD000490,,,,
PRD000491,,,,
PRD000492,,,,
PRD000493,,,,
PRD000494,,,,
PRD000495,,,,
PRD000496,,,,
PRD000497,,,,
PRD000498,MS:1000079,,,
PRD000499,,,,
PRD000500,,,,
PRD000501,,,,
PRD000502,,,,
PRD000506,,,,
PRD000507,,,,
PRD000508,,,,
PRD000509,,,,
PRD000510,,,,
PRD000511,,,,
PRD000512,,,,
PRD000513,,,,
PRD000459,MS:1001742,,,MOD:00394|MOD:00483|MOD:00400|MOD:00622|MOD:01286|MOD:00425|MOD:01214
PRD000460,,,,
PRD000461,,,,
PRD000462,,,,
PRD000463,,,,
PRD000464,MS:1000079,,,
PRD000465,,,,
PRD000468,,,,
PRD000469,,,,
PRD000470,MS:1000079,,,
PRD000471,,,,
PRD000503,,,,
PRD000504,,,,
PRD000505,,,,
PRD000514,MS:1000697,,,MOD:00425|MOD:01214
PRD000517,MS:1000449,,,MOD:00719|MOD:01334|MOD:01060
PRD000518,MS:1000556,,,MOD:00394|MOD:00425|MOD:01214
PRD000519,MS:1000447|MS:1000854,,,
PRD000520,MS:1000449,,,MOD:01090|MOD:01231|MOD:00412|MOD:00451
PRD000522,MS:1000449,,,MOD:01090|MOD:00719|MOD:00040|MOD:01812|MOD:00408|MOD:01793
PRD000523,MS:1000632,,,
PRD000524,,,,MOD:01214
PRD000525,MS:1000449,,,
PRD000526,MS:1000449,,,
PRD000527,MS:1000449,,,
PRD000531,MS:1000449,,,MOD:00425|MOD:01214
PRD000532,MS:1000697,,,
PRD000534,MS:1000449,,,
PRD000535,,,,
PRD000421,MS:1000656,,,MOD:00429|MOD:01223|MOD:01214
PRD000422,MS:1000449,,,
PRD000423,MS:1000490,,,
PRD000424,MS:1000655,,,
PRD000425,MS:1000449,,,MOD:00425|MOD:01214
PRD000426,MS:1000140,,,MOD:00394|MOD:01287|MOD:00721|MOD:01230|MOD:01214
PRD000429,MS:1000140,,,MOD:00394|MOD:00721|MOD:01287|MOD:01230|MOD:01214
PRD000435,MS:1000449,,,MOD:00425|MOD:01214
PRD000436,MS:1000449,,,MOD:00425|MOD:01214
PRD000437,MS:1000449,,,MOD:00412|MOD:00400|MOD:00696|MOD:01214
PRD000438,MS:1000189,,,MOD:00394|MOD:00721|MOD:01214
PRD000439,MS:1000449,,,MOD:00719|MOD:00311|MOD:00765|MOD:01860|MOD:01214|MOD:00034
PRD000441,MS:1000632|MS:1000557,,,MOD:00394|MOD:00040|MOD:00400|MOD:00428|MOD:00397|MOD:00493|MOD:00599|MOD:00425
PRD000443,MS:1000449,,,MOD:01610|MOD:01782|MOD:00048|MOD:00064|MOD:00277|MOD:00047|MOD:00425|MOD:00719|MOD:00684|MOD:00216|MOD:01181|MOD:00085|MOD:00685|MOD:00060|MOD:00046
PRD000444,MS:1000449,,,MOD:00425|MOD:01214
PRD000445,MS:1000449,,,
PRD000446,MS:1000449,,,
PRD000448,MS:1000556,,,MOD:00394|MOD:01153|MOD:00564|MOD:00110|MOD:01499|MOD:00425
PRD000449,MS:1000447,,,MOD:00425|MOD:00397
PRD000450,MS:1001536,,,MOD:00394|MOD:00040|MOD:01084|MOD:00425
PRD000451,MS:1000447,,,MOD:00425|MOD:01214
PRD000453,MS:1000449,,,MOD:00719|MOD:00040|MOD:00451|MOD:01398|MOD:00408|MOD:00452|MOD:01061
PRD000456,MS:1000449,,,MOD:00425|MOD:01214
PRD000458,MS:1000449,,,MOD:00425|MOD:01214
PRD000466,,,,
PRD000467,MS:1000079,,,
PRD000472,,,,
PRD000473,,,,
PRD000474,MS:1000079,,,
PRD000577,MS:1000449,,,MOD:00696|MOD:00425|MOD:01214
PRD000581,MS:1000449,,,MOD:00394|MOD:00425|MOD:01214
PRD000582,MS:1001545|MS:1000126,,,MOD:00394|MOD:00425|MOD:01214
PRD000593,MS:1000449,,,MOD:00719|MOD:00048|MOD:01060
PRD000594,MS:1000447,,,MOD:00721|MOD:01060
PRD000615,MS:1000449,,,MOD:00719|MOD:00048|MOD:01060
PRD000616,MS:1000697,,,MOD:00425|MOD:01214
PRD000618,MS:1001742,,,
PRD000619,MS:1000449,,,MOD:00425|MOD:01214
PRD000620,MS:1000449,,,MOD:00394|MOD:00046|MOD:00425|MOD:01214
PRD000623,MS:1000697,,,MOD:01214
PRD000624,MS:1000126,,,
PRD000625,MS:1000140,,,
PRD000590,MS:1000449,,,MOD:01090|MOD:01231|MOD:00394|MOD:00040|MOD:00451|MOD:00721|MOD:00493
PRD000591,MS:1000449,,,MOD:00425|MOD:01214
PRD000592,,,,
PRD000595,MS:1000855,,,
PRD000597,MS:1000490,,,
PRD000600,MS:1000139,,,MOD:00681|MOD:00425|MOD:01214
PRD000603,MS:1000449,,,
PRD000605,,,,MOD:00400|MOD:00425|MOD:01214
PRD000606,MS:1000189,,,
PRD000607,MS:1000449,,,
PRD000608,MS:1000449,,,MOD:00394|MOD:00425|MOD:01214
PRD000629,MS:1000490,,,MOD:00425|MOD:01214
PRD000631,MS:1000490,,,MOD:00719|MOD:01060
PRD000632,MS:1000449,,,
PRD000634,MS:1000447,,,
PRD000635,MS:1000447,,,
PRD000636,MS:1000449,,,MOD:00040|MOD:00420|MOD:00425|MOD:01214
PRD000540,MS:1000447,,,
PRD000541,,,,
PRD000542,MS:1000449,,,MOD:00425|MOD:01214
PRD000543,MS:1000449,,,
PRD000545,MS:1000447,,,MOD:00425|MOD:01214
PRD000546,MS:1000449,,,MOD:00110|MOD:01518|MOD:00425
PRD000551,MS:1000449,,,MOD:01528|MOD:00110|MOD:01518|MOD:00425
PRD000554,MS:1000449,,,MOD:00394|MOD:00582|MOD:00587|MOD:00425|MOD:01214
PRD000557,,,,MOD:01233|MOD:01331|MOD:00721|MOD:00449|MOD:00587|MOD:01061
PRD000562,MS:1000449,,,MOD:00046|MOD:00425|MOD:01214
PRD000566,MS:1000447,,,MOD:00425
PRD000563,MS:1001533,,,
PRD000565,MS:1000139,,,MOD:01331|MOD:00425|MOD:01214
PRD000569,MS:1000140,,,MOD:01211|MOD:00425|MOD:01214
PRD000575,MS:1000655,,,
PRD000689,MS:1000655,,,
PXD011455,MS:1001911,,,UNIMOD:28|UNIMOD:2|UNIMOD:4|UNIMOD:35|UNIMOD:1
PRD000704,MS:1000449,,,MOD:00425|MOD:01214
PRD000709,MS:1001742,,,
PRD000711,MS:1001742,,,MOD:00425|MOD:00696|MOD:00394|MOD:00397
PRD000726,MS:1000855,,,MOD:00425|MOD:01214
PRD000744,MS:1000449,,,MOD:00719|MOD:00040|MOD:01233|MOD:00449|MOD:00400|MOD:00408|MOD:00544|MOD:01334|MOD:00397|MOD:01793|MOD:00425
PRD000748,,,,MOD:00425|MOD:01549|MOD:00397
PXD000609,MS:1000449,,,MOD:00425|MOD:00696|MOD:00397
PRD000647,MS:1000556,,,MOD:00719|MOD:01160|MOD:00704|MOD:01060
PRD000650,MS:1000447,,,MOD:00425|MOD:01214
PRD000651,MS:1000557,,,MOD:00425|MOD:00599
PRD000655,MS:1000448,,,MOD:00425|MOD:01214
PRD000659,MS:1000449,,,MOD:00719|MOD:01060
PRD000664,MS:1000449,,,MOD:00425|MOD:01214
PRD000665,MS:1000449,,,MOD:00394|MOD:010900|MOD:00040|MOD:01486|MOD:00696|MOD:01487|MOD:01047|MOD:00420|MOD:01488
PRD000666,MS:1000449,,,MOD:01153|MOD:00564|MOD:00425
PRD000668,MS:1000490,,,MOD:00719|MOD:01060
PRD000671,MS:1000449,,,
PRD000673,MS:1000449,,,MOD:00451|MOD:00546|MOD:00721|MOD:00408
PRD000676,MS:1000632,,,MOD:00394|MOD:00040|MOD:00409|MOD:00425
PRD000677,MS:1000632,,,MOD:00040|MOD:00409|MOD:00425
PRD000679,MS:1000657,,,
PRD000680,MS:1000139,,,MOD:00425|MOD:01214
PRD000681,MS:1001534,,,MOD:00425
PRD000684,MS:1000490|MS:1001742,,,MOD:01090|MOD:00429|MOD:00425|MOD:00552
PRD000685,MS:1000657,,,
PRD000693,MS:1000490,,,MOD:00425|MOD:01160|MOD:01656|MOD:00397|MOD:00400|MOD:00704
PRD000698,MS:1000449,,,
PRD000717,MS:1000449,,,MOD:00425|MOD:01214
PRD000721,MS:1000447,,,MOD:00425|MOD:00696|MOD:00493|MOD:01160|MOD:00394|MOD:00428|MOD:00397|MOD:00704
PRD000722,MS:1000449,,,MOD:00425|MOD:01214
PRD000640,MS:1000658,,,
PXD011447,MS:1002877,,,PRIDE:0000398
PRD000644,MS:1000697,,,MOD:00425|MOD:00696|MOD:00397|MOD:00400|MOD:00046
PRD000695,MS:1000140,,,MOD:00425|MOD:01214
PRD000727,MS:1001742,,,MOD:00581|MOD:00719|MOD:00040|MOD:00721|MOD:00408
PRD000728,MS:1000449,,,MOD:00425|MOD:01214
PRD000729,MS:1000447,,,MOD:00397
PRD000730,MS:1000449,,,MOD:00425|MOD:01214
PRD000731,MS:1000490,,,MOD:00719|MOD:01060
PRD000732,MS:1000449,,,MOD:00425|MOD:01214
PRD000733,MS:1000556,,,MOD:00425|MOD:00397
PRD000736,MS:1000556,,,MOD:00394|MOD:00425|MOD:01214
PRD000737,MS:1000447,,,
PRD000738,MS:1000490,,,MOD:00719|MOD:01060
PRD000761,,,,
PRD000762,,,,
PRD000763,,,,
PRD000766,MS:1000449,,,
PRD000769,MS:1001534|MS:1000632,,,
PRD000770,MS:1000447,,,
PRD000772,,,,
PRD000774,MS:1000490,,,
PRD000787,MS:1000126|MS:1001533,,,
PRD000791,,,,
PRD000825,MS:1000447,,,
PRD000826,,,,
PRD000828,,,,
PRD000833,MS:1000632,,,
PRD000759,,,,
PXD000005,MS:1001742,,,MOD:00425|MOD:01720|MOD:00696|MOD:00397
