ProjectAccession,Instrument,Quantification Method,Software,PTM
PXD008647,MS:1002732|MS:1001911,,,UNIMOD:24|UNIMOD:|UNIMOD:7|UNIMOD:1
PXD008628,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00394|MOD:00935|MOD:00397
PXD008629,MS:1001911,PRIDE:0000315,,MOD:00587|MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008630,MS:1001911,PRIDE:0000315,,MOD:00587|MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008631,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00394|MOD:00935|MOD:00397
PXD008632,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00394|MOD:00935|MOD:00397
PXD008625,MS:1000932|MS:1001742,,,MOD:00425|MOD:00438|MOD:00397|MOD:00408
PXD008646,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00425|MOD:00394|MOD:00397
PXD008651,MS:1000932,PRIDE:0000447,,MOD:00425|MOD:00394|MOD:00397|MOD:00400
PXD010597,MS:1001911,,,MOD:00425|MOD:00397
PXD008626,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00394|MOD:00935|MOD:00397
PXD008627,MS:1001911,PRIDE:0000314,,MOD:01720|MOD:00394|MOD:00935|MOD:00397
PXD008634,MS:1001911,PRIDE:0000315,,MOD:00429|MOD:00587|MOD:00394|MOD:00935|MOD:00927|MOD:00397|MOD:00582
PXD008635,MS:1001911,PRIDE:0000315,,MOD:00429|MOD:00587|MOD:00394|MOD:00935|MOD:00927|MOD:00397|MOD:00582
PXD008644,MS:1001911,,,PRIDE:0000398
PXD008648,MS:1002416,,,MOD:00429|MOD:00397|MOD:00552
PXD008516,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008549,MS:1001910,PRIDE:0000314,,MOD:00425|MOD:00397
PXD008621,MS:1001742,PRIDE:0000438,,MOD:00425|MOD:00397
PXD008643,MS:1001782,PRIDE:0000436,,MOD:00696|MOD:00397
PXD008645,MS:1001742,PRIDE:0000436,,UNIMOD:4|UNIMOD:35
PXD000118,MS:1000557|MS:1001742,,,MOD:00696|MOD:01160|MOD:00394|MOD:00428|MOD:00397|MOD:00704
PXD008472,MS:1000932,,,PRIDE:0000398
PXD008518,MS:1001911,,,MOD:00696
PXD008533,MS:1001911,PRIDE:0000312,,PRIDE:0000398
PXD008599,MS:1001911,PRIDE:0000425,,PRIDE:0000398
PXD005782,MS:1001910,PRIDE:0000323,,PRIDE:0000398
PXD008469,MS:1001782,PRIDE:0000441,,MOD:00425|MOD:00397
PXD008510,MS:1001910,,,PRIDE:0000398
PXD008581,MS:1001911,PRIDE:0000312|PRIDE:0000436,,UNIMOD:21|UNIMOD:7|UNIMOD:4|UNIMOD:35
PXD008525,MS:1001911,,,MOD:00394
PXD008508,MS:1001911,,,MOD:00397
PXD008515,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008512,MS:1001911,PRIDE:0000315,,MOD:00394|MOD:00935|MOD:00397|MOD:00582
PXD008526,MS:1001911,,,MOD:00425|MOD:00696|MOD:00394|MOD:00040|MOD:00420|MOD:00674
